Ticket_ID,Date,Produit,Catégorie,Quantité (kg),Prix au kg (€),Prix total (€),CO2_e_per_kg
TICKET_2705,2024-06-14,Tofu,Protéines végétales,1.94,11.88,23.05,2.0
TICKET_2705,2024-06-14,Poulet,Viandes,2.96,5.59,16.55,6.0
TICKET_2705,2024-06-14,Carottes,Légumes,0.13,15.4,2.0,0.1
TICKET_2705,2024-06-14,Bananes,Fruits,1.27,10.92,13.87,0.8
TICKET_2705,2024-06-14,Tofu,Protéines végétales,0.65,6.62,4.3,2.0
TICKET_2705,2024-06-14,Carottes,Légumes,1.25,17.02,21.27,0.1
TICKET_2705,2024-06-14,Chocolat,Produits transformés,0.45,18.03,8.11,19.0
TICKET_2705,2024-06-14,Chocolat,Produits transformés,0.93,7.02,6.53,19.0
TICKET_2705,2024-06-14,Tofu,Protéines végétales,2.14,17.8,38.09,2.0
TICKET_2705,2024-06-14,Pommes,Fruits,2.43,13.03,31.66,0.3
TICKET_2705,2024-06-14,Tofu,Protéines végétales,0.91,3.32,3.02,2.0
TICKET_2705,2024-06-14,Agneau,Viandes,1.22,5.04,6.15,30.0
TICKET_2705,2024-06-14,Poulet,Viandes,2.94,5.32,15.64,6.0
TICKET_2705,2024-06-14,Lentilles,Protéines végétales,1.86,19.93,37.07,0.9
TICKET_2705,2024-06-14,Poulet,Viandes,2.75,12.85,35.34,6.0
TICKET_2705,2024-06-14,Œufs,Œufs,2.32,13.66,31.69,4.0
TICKET_2705,2024-06-14,Pommes de terre,Légumes,2.19,10.43,22.84,0.2
TICKET_2705,2024-06-14,Agneau,Viandes,0.43,3.05,1.31,30.0
TICKET_2705,2024-06-14,Chocolat,Produits transformés,2.22,4.2,9.32,19.0
TICKET_2705,2024-06-14,Agneau,Viandes,1.32,18.3,24.16,30.0
TICKET_2705,2024-06-14,Bananes,Fruits,2.82,14.38,40.55,0.8
TICKET_2705,2024-06-14,Bœuf,Viandes,1.95,9.47,18.47,60.0
TICKET_2705,2024-06-14,Carottes,Légumes,0.89,16.1,14.33,0.1
TICKET_2705,2024-06-14,Tofu,Protéines végétales,2.71,13.24,35.88,2.0
TICKET_2705,2024-06-14,Fromage,Produits laitiers,2.72,3.39,9.22,20.0
TICKET_4861,2024-12-19,Agneau,Viandes,2.28,6.2,14.14,30.0
TICKET_4861,2024-12-19,Lait,Produits laitiers,1.87,3.71,6.94,1.3
TICKET_4861,2024-12-19,Lentilles,Protéines végétales,1.61,2.96,4.77,0.9
TICKET_4861,2024-12-19,Carottes,Légumes,2.42,5.22,12.63,0.1
TICKET_4861,2024-12-19,Fromage,Produits laitiers,0.52,7.17,3.73,20.0
TICKET_4861,2024-12-19,Agneau,Viandes,1.65,6.64,10.96,30.0
TICKET_4861,2024-12-19,Fromage,Produits laitiers,0.73,9.8,7.15,20.0
TICKET_4861,2024-12-19,Fromage,Produits laitiers,0.67,15.78,10.57,20.0
TICKET_4861,2024-12-19,Carottes,Légumes,1.37,14.19,19.44,0.1
TICKET_4861,2024-12-19,Porc,Viandes,0.75,14.6,10.95,7.0
TICKET_4861,2024-12-19,Bœuf,Viandes,1.91,12.48,23.84,60.0
TICKET_4861,2024-12-19,Bananes,Fruits,0.19,17.6,3.34,0.8
TICKET_4861,2024-12-19,Café,Produits transformés,1.84,17.0,31.28,16.0
TICKET_4861,2024-12-19,Œufs,Œufs,2.4,8.17,19.61,4.0
TICKET_4861,2024-12-19,Pommes,Fruits,2.94,19.27,56.65,0.3
TICKET_4861,2024-12-19,Porc,Viandes,0.74,16.92,12.52,7.0
TICKET_4861,2024-12-19,Pommes de terre,Légumes,1.53,15.75,24.1,0.2
TICKET_4861,2024-12-19,Bœuf,Viandes,2.55,12.38,31.57,60.0
TICKET_4861,2024-12-19,Bœuf,Viandes,0.99,16.93,16.76,60.0
TICKET_4861,2024-12-19,Bœuf,Viandes,1.13,19.17,21.66,60.0
TICKET_4861,2024-12-19,Bananes,Fruits,0.32,3.66,1.17,0.8
TICKET_4861,2024-12-19,Carottes,Légumes,2.61,5.8,15.14,0.1
TICKET_4861,2024-12-19,Poulet,Viandes,2.46,7.32,18.01,6.0
TICKET_4861,2024-12-19,Café,Produits transformés,2.11,4.68,9.87,16.0
TICKET_4861,2024-12-19,Lait,Produits laitiers,1.64,8.35,13.69,1.3
TICKET_4861,2024-12-19,Pommes,Fruits,1.44,11.18,16.1,0.3
TICKET_4861,2024-12-19,Lentilles,Protéines végétales,2.37,12.93,30.64,0.9
TICKET_4861,2024-12-19,Œufs,Œufs,1.05,3.48,3.65,4.0
TICKET_4861,2024-12-19,Pommes de terre,Légumes,1.23,17.03,20.95,0.2
TICKET_4861,2024-12-19,Café,Produits transformés,0.65,3.8,2.47,16.0
TICKET_5277,2024-12-15,Bananes,Fruits,2.09,9.29,19.42,0.8
TICKET_5277,2024-12-15,Œufs,Œufs,0.28,15.72,4.4,4.0
TICKET_5277,2024-12-15,Agneau,Viandes,1.62,13.5,21.87,30.0
TICKET_5277,2024-12-15,Agneau,Viandes,0.58,18.62,10.8,30.0
TICKET_5277,2024-12-15,Pommes,Fruits,0.25,11.83,2.96,0.3
TICKET_5277,2024-12-15,Carottes,Légumes,0.67,17.53,11.75,0.1
TICKET_5277,2024-12-15,Chocolat,Produits transformés,2.43,11.89,28.89,19.0
TICKET_5277,2024-12-15,Carottes,Légumes,1.11,10.52,11.68,0.1
TICKET_5277,2024-12-15,Œufs,Œufs,0.64,2.19,1.4,4.0
TICKET_5277,2024-12-15,Fromage,Produits laitiers,2.7,16.03,43.28,20.0
TICKET_5277,2024-12-15,Pommes,Fruits,0.72,15.48,11.15,0.3
TICKET_5277,2024-12-15,Poulet,Viandes,0.49,8.8,4.31,6.0
TICKET_5277,2024-12-15,Pommes,Fruits,0.65,8.46,5.5,0.3
TICKET_5277,2024-12-15,Chocolat,Produits transformés,0.7,10.52,7.36,19.0
TICKET_5277,2024-12-15,Pommes de terre,Légumes,0.49,6.17,3.02,0.2
TICKET_5277,2024-12-15,Poulet,Viandes,2.23,19.82,44.2,6.0
TICKET_5277,2024-12-15,Œufs,Œufs,2.74,9.38,25.7,4.0
TICKET_5277,2024-12-15,Chocolat,Produits transformés,1.27,4.06,5.16,19.0
TICKET_5277,2024-12-15,Tofu,Protéines végétales,1.48,7.74,11.46,2.0
TICKET_5277,2024-12-15,Poulet,Viandes,1.83,16.79,30.73,6.0
TICKET_5277,2024-12-15,Pommes de terre,Légumes,0.28,18.13,5.08,0.2
TICKET_5277,2024-12-15,Pommes,Fruits,1.71,15.62,26.71,0.3
TICKET_5277,2024-12-15,Agneau,Viandes,1.8,19.99,35.98,30.0
TICKET_5277,2024-12-15,Chocolat,Produits transformés,2.59,19.12,49.52,19.0
TICKET_5277,2024-12-15,Pommes,Fruits,2.25,2.12,4.77,0.3
TICKET_5277,2024-12-15,Fromage,Produits laitiers,2.87,11.01,31.6,20.0
TICKET_5277,2024-12-15,Poulet,Viandes,0.58,17.18,9.96,6.0
TICKET_5277,2024-12-15,Chocolat,Produits transformés,0.33,19.93,6.58,19.0
TICKET_5277,2024-12-15,Porc,Viandes,1.53,6.63,10.14,7.0
TICKET_5277,2024-12-15,Bœuf,Viandes,0.75,16.08,12.06,60.0
TICKET_4495,2024-02-25,Pommes,Fruits,0.39,11.91,4.64,0.3
TICKET_4495,2024-02-25,Bananes,Fruits,2.87,4.44,12.74,0.8
TICKET_4495,2024-02-25,Pommes de terre,Légumes,2.68,7.81,20.93,0.2
TICKET_4495,2024-02-25,Poulet,Viandes,0.87,11.12,9.67,6.0
TICKET_4495,2024-02-25,Porc,Viandes,1.19,18.65,22.19,7.0
TICKET_4495,2024-02-25,Porc,Viandes,0.32,15.41,4.93,7.0
TICKET_4495,2024-02-25,Poulet,Viandes,0.46,18.14,8.34,6.0
TICKET_4495,2024-02-25,Lentilles,Protéines végétales,2.45,10.87,26.63,0.9
TICKET_4495,2024-02-25,Pommes de terre,Légumes,0.9,2.83,2.55,0.2
TICKET_4495,2024-02-25,Fromage,Produits laitiers,0.3,16.87,5.06,20.0
TICKET_4495,2024-02-25,Bœuf,Viandes,1.15,2.89,3.32,60.0
TICKET_4495,2024-02-25,Lentilles,Protéines végétales,0.87,5.49,4.78,0.9
TICKET_4495,2024-02-25,Lentilles,Protéines végétales,1.2,7.0,8.4,0.9
TICKET_4495,2024-02-25,Bœuf,Viandes,1.52,19.06,28.97,60.0
TICKET_4495,2024-02-25,Pommes de terre,Légumes,2.08,4.87,10.13,0.2
TICKET_4495,2024-02-25,Lentilles,Protéines végétales,1.88,17.82,33.5,0.9
TICKET_4495,2024-02-25,Chocolat,Produits transformés,2.11,14.26,30.09,19.0
TICKET_4495,2024-02-25,Carottes,Légumes,1.96,13.3,26.07,0.1
TICKET_4495,2024-02-25,Œufs,Œufs,1.27,14.66,18.62,4.0
TICKET_4495,2024-02-25,Tofu,Protéines végétales,1.45,4.97,7.21,2.0
TICKET_4495,2024-02-25,Lait,Produits laitiers,1.21,16.15,19.54,1.3
TICKET_4495,2024-02-25,Café,Produits transformés,2.95,15.94,47.02,16.0
TICKET_4495,2024-02-25,Pommes de terre,Légumes,1.81,9.16,16.58,0.2
TICKET_4495,2024-02-25,Café,Produits transformés,1.22,3.97,4.84,16.0
TICKET_4495,2024-02-25,Bœuf,Viandes,2.3,12.38,28.47,60.0
TICKET_4495,2024-02-25,Lentilles,Protéines végétales,2.85,8.78,25.02,0.9
TICKET_4495,2024-02-25,Café,Produits transformés,1.33,11.02,14.66,16.0
TICKET_4495,2024-02-25,Œufs,Œufs,0.26,14.57,3.79,4.0
TICKET_4495,2024-02-25,Chocolat,Produits transformés,2.08,8.46,17.6,19.0
TICKET_4495,2024-02-25,Chocolat,Produits transformés,0.84,8.52,7.16,19.0
TICKET_7030,2024-04-24,Pommes de terre,Légumes,1.19,12.35,14.7,0.2
TICKET_7030,2024-04-24,Café,Produits transformés,0.41,5.89,2.41,16.0
TICKET_7030,2024-04-24,Fromage,Produits laitiers,2.43,14.04,34.12,20.0
TICKET_7030,2024-04-24,Pommes de terre,Légumes,2.25,14.67,33.01,0.2
TICKET_7030,2024-04-24,Lait,Produits laitiers,2.47,2.09,5.16,1.3
TICKET_7030,2024-04-24,Agneau,Viandes,2.73,8.0,21.84,30.0
TICKET_7030,2024-04-24,Chocolat,Produits transformés,2.53,15.32,38.76,19.0
TICKET_7030,2024-04-24,Bananes,Fruits,2.68,4.34,11.63,0.8
TICKET_7030,2024-04-24,Bananes,Fruits,2.02,8.21,16.58,0.8
TICKET_7030,2024-04-24,Agneau,Viandes,2.39,13.28,31.74,30.0
TICKET_7030,2024-04-24,Bananes,Fruits,2.16,18.59,40.15,0.8
TICKET_7030,2024-04-24,Agneau,Viandes,1.84,12.46,22.93,30.0
TICKET_7030,2024-04-24,Lentilles,Protéines végétales,1.85,15.97,29.54,0.9
TICKET_7030,2024-04-24,Poulet,Viandes,1.58,14.82,23.42,6.0
TICKET_7030,2024-04-24,Tofu,Protéines végétales,3.0,18.46,55.38,2.0
TICKET_7030,2024-04-24,Lentilles,Protéines végétales,1.84,6.34,11.67,0.9
TICKET_7030,2024-04-24,Pommes de terre,Légumes,1.69,5.8,9.8,0.2
TICKET_7030,2024-04-24,Tofu,Protéines végétales,2.07,2.12,4.39,2.0
TICKET_7030,2024-04-24,Pommes,Fruits,0.9,6.56,5.9,0.3
TICKET_7030,2024-04-24,Bœuf,Viandes,2.16,8.06,17.41,60.0
TICKET_7030,2024-04-24,Poulet,Viandes,1.63,3.85,6.28,6.0
TICKET_7030,2024-04-24,Tofu,Protéines végétales,2.42,15.61,37.78,2.0
TICKET_7030,2024-04-24,Agneau,Viandes,0.45,5.72,2.57,30.0
TICKET_7030,2024-04-24,Lentilles,Protéines végétales,0.98,3.42,3.35,0.9
TICKET_7030,2024-04-24,Pommes,Fruits,0.47,13.52,6.35,0.3
TICKET_7030,2024-04-24,Tofu,Protéines végétales,2.01,13.82,27.78,2.0
TICKET_7030,2024-04-24,Pommes de terre,Légumes,2.71,11.87,32.17,0.2
TICKET_7030,2024-04-24,Bananes,Fruits,0.95,13.03,12.38,0.8
TICKET_7030,2024-04-24,Fromage,Produits laitiers,2.74,5.22,14.3,20.0
TICKET_7030,2024-04-24,Carottes,Légumes,0.52,18.76,9.76,0.1
TICKET_9437,2024-11-24,Lentilles,Protéines végétales,0.81,16.97,13.75,0.9
TICKET_9437,2024-11-24,Porc,Viandes,2.06,3.51,7.23,7.0
TICKET_9437,2024-11-24,Pommes,Fruits,2.27,2.12,4.81,0.3
TICKET_9437,2024-11-24,Lait,Produits laitiers,1.12,3.81,4.27,1.3
TICKET_9437,2024-11-24,Lait,Produits laitiers,2.55,9.95,25.37,1.3
TICKET_9437,2024-11-24,Bananes,Fruits,0.53,17.46,9.25,0.8
TICKET_9437,2024-11-24,Chocolat,Produits transformés,1.61,18.82,30.3,19.0
TICKET_9437,2024-11-24,Pommes,Fruits,2.29,14.6,33.43,0.3
TICKET_9437,2024-11-24,Poulet,Viandes,1.65,8.39,13.84,6.0
TICKET_9437,2024-11-24,Carottes,Légumes,1.47,8.52,12.52,0.1
TICKET_9437,2024-11-24,Poulet,Viandes,2.38,9.68,23.04,6.0
TICKET_9437,2024-11-24,Pommes de terre,Légumes,1.66,4.62,7.67,0.2
TICKET_9437,2024-11-24,Œufs,Œufs,2.31,8.76,20.24,4.0
TICKET_9437,2024-11-24,Pommes,Fruits,1.92,9.66,18.55,0.3
TICKET_9437,2024-11-24,Chocolat,Produits transformés,2.26,6.39,14.44,19.0
TICKET_9437,2024-11-24,Lentilles,Protéines végétales,1.51,14.11,21.31,0.9
TICKET_9437,2024-11-24,Bœuf,Viandes,1.37,17.38,23.81,60.0
TICKET_9437,2024-11-24,Porc,Viandes,0.51,19.27,9.83,7.0
TICKET_9437,2024-11-24,Bœuf,Viandes,2.39,7.56,18.07,60.0
TICKET_9437,2024-11-24,Carottes,Légumes,1.01,3.7,3.74,0.1
TICKET_9437,2024-11-24,Poulet,Viandes,1.71,10.18,17.41,6.0
TICKET_9437,2024-11-24,Carottes,Légumes,0.94,15.86,14.91,0.1
TICKET_9437,2024-11-24,Carottes,Légumes,2.28,17.98,40.99,0.1
TICKET_9437,2024-11-24,Fromage,Produits laitiers,2.01,16.15,32.46,20.0
TICKET_9437,2024-11-24,Pommes,Fruits,2.77,18.24,50.52,0.3
TICKET_9437,2024-11-24,Bœuf,Viandes,2.18,18.52,40.37,60.0
TICKET_9437,2024-11-24,Œufs,Œufs,1.83,13.72,25.11,4.0
TICKET_9437,2024-11-24,Pommes,Fruits,0.48,7.08,3.4,0.3
TICKET_9437,2024-11-24,Bœuf,Viandes,0.31,12.05,3.74,60.0
TICKET_9437,2024-11-24,Bœuf,Viandes,1.1,3.01,3.31,60.0
TICKET_1702,2024-09-29,Porc,Viandes,0.1,6.54,0.65,7.0
TICKET_1702,2024-09-29,Bœuf,Viandes,1.24,18.45,22.88,60.0
TICKET_1702,2024-09-29,Tofu,Protéines végétales,0.56,6.51,3.65,2.0
TICKET_1702,2024-09-29,Tofu,Protéines végétales,1.75,8.45,14.79,2.0
TICKET_1702,2024-09-29,Lait,Produits laitiers,2.2,9.19,20.22,1.3
TICKET_1702,2024-09-29,Tofu,Protéines végétales,0.98,11.87,11.63,2.0
TICKET_1702,2024-09-29,Poulet,Viandes,2.59,12.37,32.04,6.0
TICKET_1702,2024-09-29,Agneau,Viandes,1.29,14.91,19.23,30.0
TICKET_1702,2024-09-29,Bananes,Fruits,2.43,19.0,46.17,0.8
TICKET_1702,2024-09-29,Bananes,Fruits,0.64,8.17,5.23,0.8
TICKET_1702,2024-09-29,Lait,Produits laitiers,0.88,5.4,4.75,1.3
TICKET_1702,2024-09-29,Porc,Viandes,2.8,16.56,46.37,7.0
TICKET_1702,2024-09-29,Bœuf,Viandes,2.51,4.3,10.79,60.0
TICKET_1702,2024-09-29,Porc,Viandes,2.35,9.53,22.4,7.0
TICKET_1702,2024-09-29,Poulet,Viandes,0.41,18.57,7.61,6.0
TICKET_1702,2024-09-29,Café,Produits transformés,0.79,6.08,4.8,16.0
TICKET_1702,2024-09-29,Bœuf,Viandes,2.61,9.74,25.42,60.0
TICKET_1702,2024-09-29,Café,Produits transformés,2.2,4.45,9.79,16.0
TICKET_1702,2024-09-29,Bananes,Fruits,2.54,18.44,46.84,0.8
TICKET_1702,2024-09-29,Fromage,Produits laitiers,1.98,13.98,27.68,20.0
TICKET_1702,2024-09-29,Bœuf,Viandes,1.28,9.64,12.34,60.0
TICKET_1702,2024-09-29,Porc,Viandes,2.96,6.23,18.44,7.0
TICKET_1702,2024-09-29,Fromage,Produits laitiers,2.75,6.94,19.09,20.0
TICKET_1702,2024-09-29,Lentilles,Protéines végétales,0.63,9.54,6.01,0.9
TICKET_1702,2024-09-29,Bœuf,Viandes,2.88,16.92,48.73,60.0
TICKET_1702,2024-09-29,Fromage,Produits laitiers,1.53,7.67,11.74,20.0
TICKET_1702,2024-09-29,Poulet,Viandes,1.52,12.02,18.27,6.0
TICKET_1702,2024-09-29,Pommes de terre,Légumes,2.81,19.93,56.0,0.2
TICKET_1702,2024-09-29,Tofu,Protéines végétales,2.57,12.71,32.66,2.0
